Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2008,Marian Oprea,ROU,17.22,Male,"6 June 1982 in Pitești, Argeș (ROU)",191.0,85.0
2008,Jadel Gregório,BRA,17.2,Male,"16 September 1980 in Jandaia do Sul, Paraná (BRA)",202.0,102.0
2008,Larry Achike,GBR,17.18,Male,"31 January 1975 in Islington, England (GBR)",188.0,75.0
2008,Viktor Kuznietsov,UKR,17.11,Male,"17 July 1986 in Zaporizhzhia, Zaporizhzhia (UKR)",194.0,77.0
2008,Igor Spasovkhodsky,RUS,17.23,Male,"1 August 1979 in Moskva (Moscow), Moskva (RUS)",191.0,91.0
2008,Li Yanxi,CHN,17.3,Male,"26 June 1983 in Shijiazhuang, Hebei (CHN)",188.0,77.0
2008,Momchil Karailiev,BUL,17.12,Male,"21 May 1982 in Sliven, Sliven (BUL)",190.0,75.0
2008,Héctor Fuentes,CUB,17.14,Male,19 May 1988,183.0,84.0
2008,Alexis Copello,CUB,17.09,Male,"12 August 1985 in Santiago de Cuba, Santiago de Cuba (CUB)",185.0,80.0
2008,Dmitrij Val'ukevič,SVK,17.08,Male,"31 May 1981 in Petrozavodsk, Respublika Kareliya (RUS)",186.0,78.0
2008,Randy Lewis,GRN,17.06,Male,"15 November 1978 in St. Andrew's, Saint Andrew (GRN)",188.0,74.0
2008,Mykola Savolainen,UKR,17.0,Male,"25 March 1980 in Kyiv, Kyiv (UKR)",190.0,75.0
2008,Aleksandr Petrenko,RUS,16.97,Male,"8 February 1983 in Kaliningrad, Kaliningrad (RUS)",183.0,75.0
2008,Kim Deok-Hyeon,KOR,16.88,Male,"8 December 1985 in Gwangju, Gwangju (KOR)",180.0,71.0
2008,Rafeeq Curry,USA,16.88,Male,"19 August 1983 in Miami, Florida (USA)",185.0,73.0
2008,Nathan Douglas,GBR,16.72,Male,"4 December 1982 in Oxford, England (GBR)",183.0,76.0
2008,Fabrizio Donato,ITA,16.7,Male,"14 August 1976 in Latina, Latina (ITA)",189.0,83.0
2008,Daniil Burkenya,RUS,16.69,Male,"20 July 1978 in Aşgabat, Ashgabat (TKM)",198.0,85.0
2008,Dimitrios Tsiamis,GRE,16.65,Male,"12 January 1982 in Karditsa, Thessalia (GRE)",178.0,67.0
2008,Vladimir Letnicov,MDA,16.62,Male,"7 October 1981 in Chișinău, Chișinău (MDA)",178.0,70.0
2008,Kenta Bell,USA,16.55,Male,"16 March 1977 in Henderson, Texas (USA)",183.0,77.0
2008,Viktor Yastrebov,UKR,16.52,Male,"13 January 1982 in Nadvirna, Ivano-Frankivsk (UKR)",186.0,76.0
