Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2004,Julia Dubina,GEO,13.36,Female,23 June 1984,167.0,52.0
2004,Zhang Hao,CHN,13.3,Female,"26 February 1978 in ?, Guangxi (CHN)",166.0,53.0
2004,Athanasia Perra,GRE,13.19,Female,2 February 1983 in Pyrgos (GRE),170.0,59.0
2008,Françoise Mbango,CMR,15.39,Female,"14 April 1976 in Yaoundé, Centre (CMR)",172.0,63.0
2008,Olga Rypakova,KAZ,15.11,Female,"30 November 1984 in Oskemen, Shyrgys Qazaqstan (KAZ)",183.0,62.0
2008,Yargelis Savigne,CUB,15.05,Female,"13 November 1984 in Niceto Pérez, Guantánamo (CUB)",165.0,55.0
2008,Marija Šestak,SLO,15.03,Female,"17 April 1979 in Kragujevac, Šumadija (SRB)",173.0,59.0
2008,Viktoriya Gurova,RUS,14.78,Female,"22 May 1982 in Shoshi, Krasnodar Kray (RUS)",178.0,63.0
2008,Anna Pyatykh,RUS,14.73,Female,"4 April 1981 in Moskva (Moscow), Moskva (RUS)",175.0,60.0
2008,Olha Saladukha,UKR,14.7,Female,"4 June 1983 in Donetsk, Donetsk (UKR)",176.0,57.0
2008,Kaire Leibak,EST,14.19,Female,"21 May 1988 in Tartu, Tartumaa (EST)",179.0,65.0
2008,Trecia Smith,JAM,14.18,Female,"5 November 1975 in ?, Westmoreland (JAM)",185.0,76.0
2008,Xie Limei,CHN,14.27,Female,"27 June 1986 in Zhangzhou (Changchow), Fujian (CHN)",175.0,60.0
2008,Biljana Mitrović,SRB,14.14,Female,"17 October 1977 in Šabac, Mačva (SRB)",180.0,65.0
2008,Teresa Nzola Meso,FRA,14.11,Female,"30 November 1983 in Luanda, Luanda (ANG)",170.0,53.0
2008,Mabel Gay,CUB,14.09,Female,"5 May 1983 in Santiago de Cuba, Santiago de Cuba (CUB)",183.0,64.0
2008,Carlota Castrejana,ESP,14.02,Female,"25 April 1973 in Logroño, La Rioja (ESP)",188.0,69.0
2008,Svitlana Mamieieva,UKR,14.01,Female,19 April 1982,174.0,64.0
2008,Magdelín Martínez,ITA,14.0,Female,"10 February 1976 in Camagüey, Camagüey (CUB)",178.0,63.0
2008,Adelina Gavrilă,ROU,13.98,Female,"26 November 1978 in Brăila, Brăila (ROU)",174.0,58.0
2008,Carolina Klüft,SWE,13.97,Female,"2 February 1983 in Borås, Västra Götaland (SWE)",178.0,65.0
2008,Yarianna Martínez,CUB,13.96,Female,"20 September 1984 in Pinar del Río, Pinar del Río (CUB)",167.0,58.0
2008,Baya Rahouli,ALG,13.87,Female,"27 July 1979 in Bab el-Oued, Al-Jaza'ir (ALG)",179.0,64.0
2008,Gisele Oliveira,BRA,13.81,Female,"1 August 1980 in Porto Alegre, Rio Grande do Sul (BRA)",160.0,57.0
2008,Liliya Kulyk,UKR,13.66,Female,"27 January 1987 in Kupyansk, Kharkiv (UKR)",168.0,55.0
2008,Gita Dodova,BUL,13.53,Female,"2 May 1982 in Vratsa, Vratsa (BUL)",182.0,60.0
2008,Erica McLain,USA,13.52,Female,"24 January 1986 in Columbus, Ohio (USA)",173.0,62.0
2008,Yelena Parfyonova,KAZ,13.46,Female,"26 January 1974 in ?, Soltustyk Qazaqstan      (KAZ)",171.0,59.0
2008,Shani Marks,USA,13.44,Female,"24 August 1980 in Bloomington, Illinois (USA)",170.0,66.0
2008,Anastasiya Zhuravlyova,UZB,13.36,Female,"9 October 1981 in Toshkent, Toshkent Shahri (UZB)",175.0,57.0
2008,Chinonye Ohadugha,NGR,13.29,Female,24 March 1986 in ? (NGR),160.0,63.0
